Organization,Capital Program,Program Subclass,Project Status,Project Title,Project Description,Project Planning From,Project Planning To,Planned Construction From,Planned Construction To,Construction Completion From,Construction Completion To,Project URL,SDE ID,GeoJSON,geo_point_2d
City Engineering,Parks and Development,Existing Parks,Under Construction,Bayridge Courts - Rebuild,Tennis & Pickleball Courts renovations,,,2021-01-15T00:00:00-05:00,2022-06-29T00:00:00-04:00,,,https://www.cityofkingston.ca/city-hall/projects-construction/park-upgrades,100974,"{""coordinates"": [-76.59129250319488, 44.24861043675138], ""type"": ""Point""}","44.24861043675138,-76.59129250319488"
Transportation Services,Intersection And Crossing Improvements,Intersection Improvements,,AT enhancements,ICIP/Part of Bayridge MUP project,,,2022-01-03T00:00:00-05:00,2023-12-29T00:00:00-05:00,,,,105774,"{""coordinates"": [-76.59313140211596, 44.23246500781116], ""type"": ""Point""}","44.23246500781116,-76.59313140211596"
Transportation Services,Intersection And Crossing Improvements,Intersection Improvements,,AT enhancements,ICIP/Part of Bayridge MUP Project,,,2022-01-03T00:00:00-05:00,2023-12-29T00:00:00-05:00,,,,105822,"{""coordinates"": [-76.5865653537662, 44.255415038964756], ""type"": ""Point""}","44.255415038964756,-76.5865653537662"
Transportation Services,Intersection And Crossing Improvements,New Traffic Signal,Under Construction,Front and Lakeview Intersection Improvements,Front and Lakeview Pedestrian Crosswalk,,,2018-12-31T00:00:00-05:00,2019-12-30T00:00:00-05:00,,,,2416,"{""coordinates"": [-76.57159734459121, 44.218253487862825], ""type"": ""Point""}","44.218253487862825,-76.57159734459121"
Utilities Kingston,Utilities Facility Upgrade,Electric,Project Complete,Electric - MS 4 Upgrades,Transformer and Switch Gear Replacement,2017-01-01,2019-12-31,2017-12-31T00:00:00-05:00,2019-12-30T00:00:00-05:00,,,,120,"{""coordinates"": [-76.5262712044636, 44.247500607469085], ""type"": ""Point""}","44.247500607469085,-76.5262712044636"
Utilities Kingston,Utilities Replacement,Electrical,In Planning and Design Phase,Electric Frontenac TS - Fibre Install,Install UK Fibre into Hydro One Frontenac TS located at 954 Division St for tele-protection.,2019-01-01,2019-12-31,2020-01-01T00:00:00-05:00,2020-12-31T00:00:00-05:00,,,,74737,"{""coordinates"": [-76.49883421506267, 44.25874078214589], ""type"": ""Point""}","44.25874078214589,-76.49883421506267"
Utilities Kingston,Utilities Facility Upgrade,Wastewater,Project Complete,Greenview Road Wastewater Pump Station Upgrades,"replacement of the pumping equipment, a new natural gas stand-by generator, new brick and roof replacement, and other interior mechanical and electrical upgrades.",2015-01-01,2015-12-31,2014-12-31T00:00:00-05:00,2016-12-30T00:00:00-05:00,,,,112,"{""coordinates"": [-76.53700341030498, 44.23609745046492], ""type"": ""Point""}","44.23609745046492,-76.53700341030498"
Utilities Kingston,Utilities Facility Upgrade,Wastewater,Project Complete,Cana Wastewater Treatment Plant,Wastewater Facility Replacement,,,2014-12-31T00:00:00-05:00,2016-12-30T00:00:00-05:00,2017-01-01,2017-12-31,,119,"{""coordinates"": [-76.4287108311701, 44.29921208769904], ""type"": ""Point""}","44.29921208769904,-76.4287108311701"
Utilities Kingston,Utilities Facility Upgrade,Water,In Planning and Design Phase,Water - Old Colony Road Booster Station Decommission,Booster Station Decommissioning,,,2019-12-31T00:00:00-05:00,2020-12-30T00:00:00-05:00,,,https://,115,"{""coordinates"": [-76.57494285777322, 44.24997540802329], ""type"": ""Point""}","44.24997540802329,-76.57494285777322"
,Parks and Development,Plans and Policies,Project Complete,Belle Park Master Plan,"The City is developing a master plan for Belle Park, a 80-acre park situated on a former landfill in the core of Kingston on the shores of the Cataraqui River. View engagement opportunities and timelines on the project page",2017-01-01,2017-12-01,2018-12-31T00:00:00-05:00,2019-12-30T00:00:00-05:00,,,https://www.cityofkingston.ca/city-hall/projects-construction/belle-park-master-plan,496,"{""coordinates"": [-76.48126599109322, 44.25142520295781], ""type"": ""Point""}","44.25142520295781,-76.48126599109322"
City Engineering,Bridges and Culverts,Bridge Rehabilitation,In Planning and Design Phase,Collins Creek Bridge Rehabilitation,Collins Creek Bridge Rehabilitation,,,2019-12-31T00:00:00-05:00,2022-12-30T00:00:00-05:00,,,,47541,"{""coordinates"": [-76.61447473436851, 44.249861806103794], ""type"": ""Point""}","44.249861806103794,-76.61447473436851"
Parks and Development,Parks and Development,Existing Parks,Project Complete,Champlain Park Sportsfield,"Proposed grades include a new sports field, new playground equipment and re-alignment of pathway.",,,2016-12-31T00:00:00-05:00,2017-11-30T00:00:00-05:00,2018-09-01,2018-12-01,https://www.cityofkingston.ca/city-hall/projects-construction/park-upgrades,499,"{""coordinates"": [-76.5044178936291, 44.25378078903305], ""type"": ""Point""}","44.25378078903305,-76.5044178936291"
Transportation Services,Transit Services,Transit,In Planning and Design Phase,West End Terminal Construction,Information to be verified by Transportation Services,,,2014-12-31T00:00:00-05:00,2015-12-30T00:00:00-05:00,2015-01-01,2015-12-31,,101,"{""coordinates"": [-76.57220101011053, 44.25505809095477], ""type"": ""Point""}","44.25505809095477,-76.57220101011053"
Utilities Kingston,Utilties Rehabilitation,Wastewater,In Planning and Design Phase,Wastewater - Biosolids and Biogas Master Plan,Cataraqui Bay Biosolids Management,,,2019-12-31T00:00:00-05:00,2020-12-30T00:00:00-05:00,,,,72175,"{""coordinates"": [-76.5512871381636, 44.213913234760874], ""type"": ""Point""}","44.213913234760874,-76.5512871381636"
Utilities Kingston,Utilties Rehabilitation,Wastewater,In Planning and Design Phase,Wastewater - Biosolids and Biogas Master Plan,Ravensview Biosolids Management,,,2019-12-31T00:00:00-05:00,2020-12-30T00:00:00-05:00,,,,72174,"{""coordinates"": [-76.42165362675185, 44.24166623535033], ""type"": ""Point""}","44.24166623535033,-76.42165362675185"
City Engineering,Storm System Improvements,Drainage Improvements,Project Complete,St. Lawrence Avenue Stormwater Study,St. Lawrence Avenue Stormwater Study,2020-01-01,2020-12-31,2017-07-31T00:00:00-04:00,2019-01-31T00:00:00-05:00,,,,46583,"{""coordinates"": [-76.37559692133404, 44.2617836553652], ""type"": ""Point""}","44.2617836553652,-76.37559692133404"
Transportation Services,Intersection And Crossing Improvements,New Traffic Signal,Project Complete,Johnson and Macdonell Intersection Improvements,Johnson and MacDonnell Pedestrian Crosswalk,,,2018-12-31T00:00:00-05:00,2019-12-30T00:00:00-05:00,,,,2417,"{""coordinates"": [-76.50498127620428, 44.23139843719413], ""type"": ""Point""}","44.23139843719413,-76.50498127620428"
Transportation Services,Intersection And Crossing Improvements,Intersection Improvements,Project Complete,Concession and Leroy Grant Intersection Improvements,Concession and Leroy Grant Intersection Improvements,,,2018-12-31T00:00:00-05:00,2019-12-30T00:00:00-05:00,,,,74414,"{""coordinates"": [-76.5068569307379, 44.24168029307375], ""type"": ""Point""}","44.24168029307375,-76.5068569307379"
Utilities Kingston,Utilities Construction,Wastewater,In Planning and Design Phase,Portsmouth Wastewater Pump Station Redirect and Trunk Watermain,Portsmouth Pump Station Refurbishment,2015-01-01,2022-01-01,2022-01-01T00:00:00-05:00,2022-12-30T00:00:00-05:00,,,http://www.utilitieskingston.com/Projects/Detail/PortsmouthPumpingStation,108,"{""coordinates"": [-76.51639434454539, 44.22110190990459], ""type"": ""Point""}","44.22110190990459,-76.51639434454539"
City Engineering,Storm System Improvements,Drainage Improvements,Project Complete,Front Road And Cataraqui Bay Shoreline Restoration,Front Road And Cataraqui Bay Shoreline Restoration,2020-01-01,2020-12-31,2020-01-01T00:00:00-05:00,2020-12-31T00:00:00-05:00,,,,46586,"{""coordinates"": [-76.54350817043262, 44.22012997132041], ""type"": ""Point""}","44.22012997132041,-76.54350817043262"
City Engineering,Storm System Improvements,Drainage Improvements,In Planning and Design Phase,Princess Street Storm System Improvements,Princess Street Storm System Improvements,2019-01-01,2019-12-31,2022-01-02T00:00:00-05:00,2022-12-30T00:00:00-05:00,2019-01-01,2019-12-31,,3696,"{""coordinates"": [-76.62942134615707, 44.266342725226934], ""type"": ""Point""}","44.266342725226934,-76.62942134615707"
Parks and Development,Parks and Development,New Parks,Project Complete,Jade Avenue Park,New park development (new subdivision),2018-09-01,2018-12-01,2019-01-01T00:00:00-05:00,2020-12-31T00:00:00-05:00,,,,76,"{""coordinates"": [-76.58082102985446, 44.27758203537766], ""type"": ""Point""}","44.27758203537766,-76.58082102985446"
Parks and Development,Parks and Development,Facilities,Project Complete,Rideau Heights Community Centre,New community centre,,,2014-12-31T00:00:00-05:00,2015-12-30T00:00:00-05:00,2016-01-01,2018-04-12,https://www.cityofkingston.ca/city-hall/projects-construction/archived-projects/shannon-park,68,"{""coordinates"": [-76.48296550587953, 44.26524670834893], ""type"": ""Point""}","44.26524670834893,-76.48296550587953"
City Engineering,Parks and Development,Existing Parks,Pre-Planning,MacLean Trails Park Improvements,New pathways and park improvements coordinated with the Third Crossing development.,,,2022-01-02T00:00:00-05:00,2023-12-30T00:00:00-05:00,,,,93406,"{""coordinates"": [-76.4643404327699, 44.259339484502824], ""type"": ""Point""}","44.259339484502824,-76.4643404327699"
City Engineering,Storm System Improvements,Drainage Improvements,Project Complete,Orser Road Storm System Improvements,Orser Road Storm System Improvements,,,2020-01-02T00:00:00-05:00,2020-12-30T00:00:00-05:00,,,,98446,"{""coordinates"": [-76.63144970216429, 44.34788950479781], ""type"": ""Point""}","44.34788950479781,-76.63144970216429"
City Engineering,Storm System Improvements,Drainage Improvements,Project Complete,154/158 Lakeshore Boulevard Drainage Improvements,154/158 Lakeshore Boulevard Drainage Improvements,2019-01-01,2019-12-31,2019-01-02T00:00:00-05:00,2020-06-29T00:00:00-04:00,,,,3694,"{""coordinates"": [-76.57524724580212, 44.216555146375306], ""type"": ""Point""}","44.216555146375306,-76.57524724580212"
City Engineering,Bridges and Culverts,Structure Relining,In Planning and Design Phase,Culvert Relining,The project includes the installation of a culvert liner to extend the life of the existing culverts in place.,,,2021-03-15T00:00:00-04:00,2021-11-30T00:00:00-05:00,,,,103534,"{""coordinates"": [-76.29024591522837, 44.43901193925399], ""type"": ""Point""}","44.43901193925399,-76.29024591522837"
Parks and Development,Parks and Development,Existing Parks,Deferred,Belle Park Master Plan (Phase 1),"Design 2022/23, Construction 2024/25",,,2022-01-02T00:00:00-05:00,2025-12-30T00:00:00-05:00,,,,57470,"{""coordinates"": [-76.48036620182167, 44.251472015394334], ""type"": ""Point""}","44.251472015394334,-76.48036620182167"
Parks and Development,Parks and Development,Existing Parks,Under Construction,McBurney Park Splash Pad,Renovate wading pool into splash pad,2018-09-01,,2020-01-02T00:00:00-05:00,2022-06-29T00:00:00-04:00,2020-01-01,2020-12-31,https://www.cityofkingston.ca/city-hall/projects-construction/mcburney-park,26,"{""coordinates"": [-76.48828455048204, 44.235564422152564], ""type"": ""Point""}","44.235564422152564,-76.48828455048204"
Parks and Development,Parks and Development,Waterfront,Under Construction,Richardson Beach and Emily St to Maitland St. Shoreline Improvement,"Improved access to the beach and water's edge, access to the water and shoreline improvements",,,2020-02-01T00:00:00-05:00,2022-08-30T00:00:00-04:00,,,https://www.cityofkingston.ca/city-hall/projects-construction/richardson-beach,63,"{""coordinates"": [-76.48858899382432, 44.22213392585624], ""type"": ""Point""}","44.22213392585624,-76.48858899382432"
Parks and Development,Parks and Development,New Parks,Pre-Planning,Creekside Valley Park A,Future new park design,2018-01-01,2018-12-01,2022-01-01T00:00:00-05:00,2022-12-31T00:00:00-05:00,,,,70,"{""coordinates"": [-76.61826661449551, 44.27102635202901], ""type"": ""Point""}","44.27102635202901,-76.61826661449551"
Parks and Development,Parks and Development,New Parks,In Planning and Design Phase,Max Crescent Park,Design & Construction 2021,,,2021-01-02T00:00:00-05:00,2022-08-30T00:00:00-04:00,,,https://www.cityofkingston.ca/city-hall/projects-construction/park-upgrades,78,"{""coordinates"": [-76.54813060835329, 44.26766062608272], ""type"": ""Point""}","44.26766062608272,-76.54813060835329"
Utilities Kingston,Utilities Facility Upgrade,Gas,In Planning and Design Phase,Railway St Gas Regulating Station Upgrades,Main Regulator Runs Life Cycle Replacement,2017-01-01,2017-12-31,2020-05-03T00:00:00-04:00,2021-10-29T00:00:00-04:00,,,n/a,109,"{""coordinates"": [-76.49287590506721, 44.2484004580127], ""type"": ""Point""}","44.2484004580127,-76.49287590506721"
Utilities Kingston,Utilities Facility Upgrade,Wastewater,Under Construction,Wastewater - Days Road Pumping Station,Construction of replacement pumping station,2016-01-01,2020-01-02,2020-01-03T00:00:00-05:00,2023-03-30T00:00:00-04:00,,,https://utilitieskingston.com/Projects/Detail/DaysRd_SPS,110,"{""coordinates"": [-76.57116652748981, 44.23186516602108], ""type"": ""Point""}","44.23186516602108,-76.57116652748981"
Parks and Development,Parks and Development,Pathways and Trails,In Planning and Design Phase,Rudd Avenue Footpath,Improvements to the current foot path that connects Rudd Avenue to Serpentine Lane,,,2019-12-31T00:00:00-05:00,2022-06-29T00:00:00-04:00,,,https://www.cityofkingston.ca/city-hall/projects-construction/park-upgrades,815,"{""coordinates"": [-76.38079364925379, 44.26097150894718], ""type"": ""Point""}","44.26097150894718,-76.38079364925379"
City Engineering,Storm System Improvements,Drainage Improvements,In Planning and Design Phase,King Street East Drainage Improvements,King Street East Drainage Improvements,2020-01-01,2020-12-31,2020-01-02T00:00:00-05:00,2022-10-30T00:00:00-04:00,,,,46574,"{""coordinates"": [-76.47989057407533, 44.23504954679533], ""type"": ""Point""}","44.23504954679533,-76.47989057407533"
Parks and Development,Parks and Development,New Parks,In Planning and Design Phase,Bert Meunier Common West,Design & Construction 2021,,,2021-01-02T00:00:00-05:00,2022-08-30T00:00:00-04:00,,,https://www.cityofkingston.ca/city-hall/projects-construction/park-upgrades,46896,"{""coordinates"": [-76.55543641216131, 44.26514727067665], ""type"": ""Point""}","44.26514727067665,-76.55543641216131"
Parks and Development,Parks and Development,Existing Parks,In Planning and Design Phase,City Park Ring Road,City Park Ring Road,,,2019-12-31T00:00:00-05:00,2022-08-31T00:00:00-04:00,,,,46897,"{""coordinates"": [-76.48814793709576, 44.224333580169734], ""type"": ""Point""}","44.224333580169734,-76.48814793709576"
Parks and Development,Parks and Development,Existing Parks,Project Complete,Alderville First Nation Commemoration,,,,2020-08-23T00:00:00-04:00,2020-12-31T00:00:00-05:00,,,https://www.cityofkingston.ca/city-hall/projects-construction/alderville-first-nation-commemoration,47534,"{""coordinates"": [-76.5319151823461, 44.217811940976915], ""type"": ""Point""}","44.217811940976915,-76.5319151823461"
Transit Services,Transit Services,New Bus Station,In Planning and Design Phase,ICIP-KIN-05 - Transit Passenger Station,Henderson/Chelsea south side - 2022 construction,,,2019-12-31T00:00:00-05:00,2022-12-31T00:00:00-05:00,,,,84686,"{""coordinates"": [-76.58164191539991, 44.22766128290986], ""type"": ""Point""}","44.22766128290986,-76.58164191539991"
City Engineering,Storm System Improvements,Drainage Improvements,Project Complete,White Church Road Storm System Improvements,White Church Road Storm System Improvements,,,2020-01-02T00:00:00-05:00,2021-05-30T00:00:00-04:00,,,,91726,"{""coordinates"": [-76.27572673336046, 44.34925172854452], ""type"": ""Point""}","44.34925172854452,-76.27572673336046"
City Engineering,Parks and Development,Existing Parks,Under Construction,Cloverdale Park playground replacement,Playground Replacement,,,2021-01-31T00:00:00-05:00,2022-06-29T00:00:00-04:00,,,https://www.cityofkingston.ca/city-hall/projects-construction/park-upgrades,93310,"{""coordinates"": [-76.5473364618137, 44.278975544794875], ""type"": ""Point""}","44.278975544794875,-76.5473364618137"
City Engineering,Parks and Development,Existing Parks,Project Complete,City Park roof repair,,,,2020-02-01T00:00:00-05:00,2020-12-01T00:00:00-05:00,,,,93374,"{""coordinates"": [-76.48890185626794, 44.22609290913046], ""type"": ""Point""}","44.22609290913046,-76.48890185626794"
City Engineering,Storm System Improvements,Drainage Improvements,Project Complete,Bur Brook Road Storm System Improvements,Bur Brook Road Storm System Improvements,,,2021-01-02T00:00:00-05:00,2021-12-30T00:00:00-05:00,,,,96176,"{""coordinates"": [-76.54027689035802, 44.29996014941067], ""type"": ""Point""}","44.29996014941067,-76.54027689035802"
Transportation Services,Intersection And Crossing Improvements,Intersection Improvements,,AT enhancements,ICIP/Part of Bayridge MUP Project,,,2022-01-01T00:00:00-05:00,2023-12-31T00:00:00-05:00,,,,100017,"{""coordinates"": [-76.58362231412138, 44.25974845626653], ""type"": ""Point""}","44.25974845626653,-76.58362231412138"
Transportation Services,Intersection And Crossing Improvements,Intersection Improvements,,AT enhancements,ICIP/Part of Bayridge MUP project,,,2022-01-01T00:00:00-05:00,2023-12-31T00:00:00-05:00,,,,100032,"{""coordinates"": [-76.593448487387, 44.23756375907431], ""type"": ""Point""}","44.23756375907431,-76.593448487387"
Transportation Services,Intersection And Crossing Improvements,Miscellaneous,,AT Enhancements,ICIP/Part of Bayridge MUP project,,,2022-01-01T00:00:00-05:00,2023-12-31T00:00:00-05:00,,,,100043,"{""coordinates"": [-76.58969017105207, 44.25040572414561], ""type"": ""Point""}","44.25040572414561,-76.58969017105207"
Transportation Services,Intersection And Crossing Improvements,Intersection Improvements,,AT enhancements,ICIP/Part of Bayridge MUP project,,,2022-01-01T00:00:00-05:00,2023-12-31T00:00:00-05:00,,,,100078,"{""coordinates"": [-76.59187134849668, 44.24137240062838], ""type"": ""Point""}","44.24137240062838,-76.59187134849668"
City Engineering,Parks and Development,Existing Parks,In Planning and Design Phase,LaSalle Park Playground,Replace aging play equipment and relocate playground area,,,2021-01-13T00:00:00-05:00,2022-04-29T00:00:00-04:00,,,https://www.cityofkingston.ca/city-hall/projects-construction/park-upgrades,100334,"{""coordinates"": [-76.57338651801105, 44.23246197684162], ""type"": ""Point""}","44.23246197684162,-76.57338651801105"
City Engineering,Storm System Improvements,Drainage Improvements,In Planning and Design Phase,Brass Drive Storm System Improvements,Replace twin culverts crossing Brass Drive,,,2021-01-02T00:00:00-05:00,2022-12-30T00:00:00-05:00,,,,101294,"{""coordinates"": [-76.53965461559307, 44.27213110916423], ""type"": ""Point""}","44.27213110916423,-76.53965461559307"
Utilities Kingston,Utilities Replacement,Electrical,Under Construction,5Kv UG Cable Upgrades,EM36 Electical Manhole Rebuild - King St W at Beverly St Civil reconstruction of existing manhole at the intersection of King St W to Beverley St. (608/609/206 CCT - Feeds King St W WTP) complete transitions to OH,,,2021-01-01T00:00:00-05:00,2021-12-31T00:00:00-05:00,,,,102256,"{""coordinates"": [-76.50229098288185, 44.2219943897638], ""type"": ""Point""}","44.2219943897638,-76.50229098288185"
City Engineering,Parks and Development,Existing Parks,In Planning and Design Phase,Victoria Park apollo retrofit,Replacement of failing apollo play equipment,,,2021-01-15T00:00:00-05:00,2022-08-31T00:00:00-04:00,,,,104190,"{""coordinates"": [-76.49868808984529, 44.233934476571], ""type"": ""Point""}","44.233934476571,-76.49868808984529"
City Engineering,Storm System Improvements,Drainage Improvements,In Planning and Design Phase,Sandringham Place Drainage Improvements,Sandringham Place Drainage Improvements,,,2021-01-02T00:00:00-05:00,2022-12-30T00:00:00-05:00,,,,104494,"{""coordinates"": [-76.5818773656796, 44.25208087492809], ""type"": ""Point""}","44.25208087492809,-76.5818773656796"
Transportation Services,Intersection And Crossing Improvements,Intersection Improvements,,AT enhancements,ICIP/Part of Bayridge MUP Project,,,2022-01-03T00:00:00-05:00,2023-12-29T00:00:00-05:00,,,,105790,"{""coordinates"": [-76.59053502381427, 44.2450094701671], ""type"": ""Point""}","44.2450094701671,-76.59053502381427"
